case_nr,case_link,case_address,month
"BG Telfs, 6 S 12/06m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/5511ee0578636699c1257a6c006f0fd8!OpenDocument,6410,2007-01-01
"LG Wiener Neustadt, 11 S 33/04w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/3420fc6dc4dde959c1257a6c00635f6f!OpenDocument,2640,2007-01-01
"BG Bregenz, 19 S 1/07d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b5fcc3e511121da9c1257a6c007055fb!OpenDocument,6921,2007-01-01
"BG Favoriten, 41 S 20/06m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/2b41a64fdbc1d437c1257a6c0057f68b!OpenDocument,1100,2007-01-01
"BG Linz, 26 S 101/06k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/32ee2fcd7318d6e4c1257a6c006531d1!OpenDocument,4020,2007-01-01
"BG Josefstadt, 11 Se 10/06w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/139b5e83e35ed751c1257a6c005c4c39!OpenDocument,1090,2007-01-01
"BG Schärding, 3 S 1/07z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/6f1a80978385f996c1257a6c0067193b!OpenDocument,4760,2007-01-01
"BG Innere Stadt Wien, 63 S 31/06m",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/a978faae0d18d84dc1257a6c0053e8e5!OpenDocument,1110,2007-01-01
"BG St. Pölten, 12 S 70/06h",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/dfb9becb44c0f6d3c1257a6c0061d65c!OpenDocument,3140,2007-01-01
"BG Imst, 5 S 9/06z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/00c5ba2883ea5970c1257a6c006e09da!OpenDocument,6460,2007-01-01
"BG Favoriten, 44 S 49/06y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/af76fa2365228780c1257a6c00585daf!OpenDocument,1100,2007-01-01
"BG Bregenz, 19 S 42/06g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/27b2fb59bc22c27dc1257a6c00705569!OpenDocument,6911,2007-01-01
"BG Salzburg, 8 Se 33/06k",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/67f36b8404b2c9ebc1257a6c00694b81!OpenDocument,5020,2007-01-01
"BG Gleisdorf, 15 S 16/06b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/e51940a1bbeca67cc1257a6c006c37e1!OpenDocument,8212,2007-01-01
"BG Villach, 19 S 108/06w",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/4722d2c2c526c692c1257a6c006dd014!OpenDocument,9500,2007-01-01
"BG Favoriten, 13 S 42/04p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/c0c89002d3f30e0bc1257a6c0057e44f!OpenDocument,1100,2007-01-01
"LGZ Graz, 26 Se 316/06z",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/679740bc28d0fd8fc1257a6c006b6779!OpenDocument,8010,2007-01-01
"BG Telfs, 6 S 33/05y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/1d88483c417dadacc1257a6c006f0f00!OpenDocument,6170,2007-01-01
"LGZ Graz, 26 S 1/07b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b9884e62c6b3789cc1257a6c006b3ebb!OpenDocument,8410,2007-01-01
"BG Innsbruck, 23 S 5/07b",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/5cfdd64c44cad374c1257a6c006eac21!OpenDocument,6020,2007-01-01
"BG Fünfhaus, 16 S 12/06g",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/243fe0095163b2f6c1257a6c005921e6!OpenDocument,1150,2007-01-01
"BG Innere Stadt Wien, 66 S 7/07f",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/940a6b7cf0abee66c1257a6c0054e320!OpenDocument,1110,2007-01-01
"BG Zell am Ziller, 4 S 9/04y",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/b407f27413e8e290c1257a6c007000f6!OpenDocument,6281,2007-01-01
"BG Hietzing, 12 S 14/06v",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/8465911f66c3546ec1257a6c0058f695!OpenDocument,1130,2007-01-01
"BG Feldkirch, 29 S 1/05d",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/c090d4dd82b95e56c1257a6c00715954!OpenDocument,6800,2007-01-01
"BG Ferlach, 2 S 2/07i",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/bc47c51f13c92507c1257a6c006c48e6!OpenDocument,9170,2007-01-01
"BG Innere Stadt Wien, 66 S 20/06s",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/f0a6edda63319f2ac1257a6c0054e0f0!OpenDocument,1110,2007-01-01
"BG Innere Stadt Wien, 66 S 21/06p",https://edikte.justiz.gv.at/edikte/id/idedi8.nsf/0/c9f1f3cedffb617ac1257a6c0054e10b!OpenDocument,1110,2007-01-01
